species,text,url
Danaus plexippus,"Although monarch larvae eat only milkweed, adult monarchs and other pollinators feed on the nectar of many plants, including: Adult monarchs prefer to feed on sturdy plants that have relatively flat surfaces (sunflowers, asters) or long multi-flowering inflorescences (gayfeather), where the nectar is easily accessed, as in many species in the Asteraceae (sunflower) family. Common characteristics of this family include clusters of flowers with shallow, easily accessed nectar. Milkweeds, which also have easily accessible nectar, are excellent nectar sources. Publications have reported that Mexican sunflower (Tithonia rotundifolia) is especially attractive to adult monarchs. Like that species, coneflowers (Echinacea spp.), gayfeathers (Liatris spp.), goldenrods (Solidago spp.), blue mistflower (Conoclinium coelestinum), frostweed (Verbesina virginica), Joe-Pye weeds (Eutrochium spp.), ironweeds (Vernonia spp.), asters (Symphyotrichum spp. and Eurybia spp.) and other late-flowering genera of the Asteraceae family, are major nectar sources for monarchs during their fall migration. During the spring migration, important nectar sources include early-blooming Asclepias spp., Coreopsis spp., Viburnum spp., and Phlox spp. Monarchs obtain moisture and minerals from damp soil and wet gravel, a behavior known as mud-puddling. The monarch has also been noticed puddling at an oil stain on the pavement.",https://en.wikipedia.org/wiki/Monarch_butterfly
Vanessa atalanta,"The forewing of this butterfly bears on a black ground an oblique vermilion band and a group of white subapical spots. On the hindwing the larger portion of the distal margin is red, with a row of small black spots and at the anal angle an elongate blue spot. The underside is partly variegated with blue; the forewing is on the whole similar in markings to the upper, while the hindwing is brightly variegated and clouded, bearing black markings, of which those in the cell resemble a figure (on the left wing 18 or 98, on the right 81 or 89); in the middle of the costal area there is a pale patch and in the distal marginal area a row of ocellus-like spots. Sometimes, especially in the female, the red band of the forewing bears a small white spot in the middle.",https://en.wikipedia.org/wiki/Vanessa_atalanta
Pieris rapae,In appearance it looks like a smaller version of the large white (Pieris brassicae). The upperside is creamy white with black tips on the forewings. Females also have two black spots in the center of the forewings. Its underwings are yellowish with black speckles. It is sometimes mistaken for a moth due to its plain appearance. The wingspan of adults is roughly 32–47 mm (1.3–1.9 in). Pieris rapae has a wingbeat frequency averaging 12.8 flaps per second.,https://en.wikipedia.org/wiki/Pieris_rapae
Dione vanillae,"In its adult form, the gulf fritillary is a medium-sized butterfly that has extended forewings and a wingspan range of 6.5 to 9.5 cm. This butterfly exhibits sexual dimorphism as females are typically distinctively larger in size than males. The underside of the wings is brown and speckled with silvery white dots. In contrast, the top surface layer of the wings is deep orange in color with black streaks running across. In addition to the size difference between the two sexes, females are usually darker in color and are more marked with black streaks as compared to the males.",https://en.wikipedia.org/wiki/Gulf_fritillary
Vanessa cardui,"Male and female. Upperside. Ground-colour reddish-ochreous, basal areas olivescent-ochreous-brown; cilia black, alternated with white, Forewing with an outwardly-oblique black irregular-shaped broken band crossing from middle of the cell to the disc above the submedian vein; the apical area from end of cell and the exterior border also black; before the apex is a short white outwardly-oblique streak and a curved row of four round spots, the second and third being small; a marginal pale lunular line with its upper portion most defined and whitish. Hind-wing with a blackish patch from the costal vein across end of cell, a partly confluent recurved discal band, a submarginal row of lunules, and then a marginal row of somewhat scutiform spots; between the discal band and submarginal lunules is a row of five round black spots, which in some examples show a pale and dark outer ring. Underside. Forewing brighter reddish-ochreous, the apical area and outer margin much paler, the apex being olivescent ochreous-brown; discal irregular band as above, subapical white streak, row of spots and marginal lunules distinct; base of wing and interspace before end of cell white. Hindwing transversely-marbled with olivescent ochreous-brown and speckled with black scales; crossed by basal and discal sinuous whitish or pale fascia and intersected by white veins; an outer-discal row of five ocelli, the upper one smallest and usually imperfect, the second and fifth the largest, the fourth with black centre speckled with blue and ringed with yellow, and the second and fifth also with an outer black ring; submarginal lunules purpurescent-grey, bordered by a whitish fascia; outer margin ochreous. Body olivescent ochreous-brown, abdomen with ochreous bands; palpi blackish above, white beneath; body beneath and legs greyish-white; antennae black above, tip and beneath reddish.",https://en.wikipedia.org/wiki/Vanessa_cardui
Papilio glaucus,"The wingspan ranges from 7.9 to 14 cm (3.1 to 5.5 in) with females being the larger sex. Southern individuals are larger than northern ones. Males are yellow with four black ""tiger stripes"" on each forewing. The outer edge of the forewing is black with a row of yellow spots. The veins are marked with black. The postmedian area of the hindwing is black with yellow spots along the margin. The inner margin of the hindwing has small red and blue spots. The ventral forewing margin has a yellow bar that is broken into spots. This broken bar is present in both sexes, and is used to distinguish P. glaucus from its close relatives. Females are dimorphic. The yellow morph differs from the male in having a blue postmedian area on the dorsal hindwing. In the dark morph, the areas that are normally yellow are replaced with dark gray or black. The bluish postmedian area on the ventral hindwing has one row of orange spots. A shadow of the ""tiger stripes"" can be seen on the underside of some dark females. P. glaucus is one of a few species of papilionids known to produce gynandromorphs. Most bilateral gynandromorphs are hybrids of P. glaucus and P. canadensis that are found along hybrid zones. Color mosaics are found in the central part of the species range.",https://en.wikipedia.org/wiki/Papilio_glaucus
Papilio polyxenes,"Papilio polyxenes, the (eastern) black swallowtail, American swallowtail or parsnip swallowtail, is a butterfly found throughout much of North America. An extremely similar-appearing species, Papilio joanae, occurs in the Ozark Mountains region, but it appears to be closely related to Papilio machaon, rather than P. polyxenes. The species is named after the figure in Greek mythology, Polyxena (pron.: /pəˈlɪksɨnə/; Greek: Πολυξένη), who was the youngest daughter of King Priam of Troy. Its caterpillar is often called the ""parsleyworm"" because the caterpillar feeds on parsley. The Papilio polyxenes demonstrates polyandry and a lek mating system, showing no male parental care and display sites. Females are therefore able to choose males based on these sites and males are the only resource the females find at these sites.",https://en.wikipedia.org/wiki/Papilio_polyxenes
Pararge aegeria,"The average wingspan of both males and females is 5.1 cm (2 in), although males tend to be slightly smaller than females. Furthermore, males possess a row of grayish-brown scent scales on their forewings that is absent in the females. Females have brighter and more distinct markings than males. The subspecies P. a. tircis is brown with pale yellow or cream spots and darker upperwing eyespots. The subspecies P. a. aegeria has a more orange background and the hindwing underside eyespots are reddish brown rather than black or dark gray. The two forms gradually intergrade into each other. Subspecies P. a. oblita is a darker brown, often approaching black with white rather than cream spots. The underside of its hindwings has a marginal pale purple band and a row of conspicuous white spots. The spots of subspecies P. a. insula are a tawny orange rather than a cream color. The underside of the forewings has patches of pale orange, and the underside of the hindwing has a purple-tinged band. Although there is considerable variation with each subspecies, identification of the different subspecies is manageable. The morphology of this butterfly varies as a gradient down its geographic cline from north to south. The northern butterflies in this species have a bigger size, adult body mass, and wing area. These measurements decrease as one moves in a southerly direction in the speckled wood's range. Forewing length on the other hand increases moving in a northerly direction. This is due to the fact that in the cooler temperatures of the northern part of this butterfly's range, the butterflies need larger forewings for thermoregulation. Finally, the northern butterflies are darker than their southern counterpart, and there is a coloration gradient, down their geographical cline.",https://en.wikipedia.org/wiki/Speckled_wood_(butterfly)
Aglais io,"The butterfly has a wingspan of 50 to 55 millimetres (2 to 2+1⁄8 in). The base colour of the wings is a rusty red, and at each wingtip it bears a distinctive, black, blue and yellow eyespot. The underside is a cryptically coloured dark brown or black, mimicking a dead leaf. There are two subspecies: A. io caucasica (Jachontov, 1912), found in Azerbaijan, and A. io geisha (Stichel, 1908), found in Japan and the Russian Far East.",https://en.wikipedia.org/wiki/Aglais_io
Polyommatus icarus,"Polyommatus icarus has a wingspan of 28–36 millimetres (1.1–1.4 in). The dorsal side of the wings is an iridescent lilac blue, bright violet-blue, or almost hyacinth-blue with a thin black border. Females' wings are brown or black-brown with a row of red reddish yellow spots along the edges of the wings (marginal spots) and usually some blue at the base. The extent of blue and brown is extremely variable depending on location. The top of the wings in the female may be mostly blue, especially in Ireland and Scotland, but it always has red spots. The ventral side has a greyish or dust-grey base colour in the males and a more brownish hue in the females. Both sexes have a row of red or orange spots along the edge of the hindwing and extending onto the forewing, though they are generally fainter there, particularly in the males, where they are sometimes missing altogether. There are about a dozen black-centered white spots (ocelli) on the hindwing and nine on the forewing. These usually include one in the middle of the forewing cell, absent in Chapman's and Escher's blues. The fringes on the outer edge of the wings are uniform white, not crossed with black lines as in the chalkhill and Adonis blues (that is, the common blue lacks checkering). Other similar species are:- Polyommatus semiargus Polyommatus coridon Polyommatus dorylas Polyommatus amandus Polyommatus damon Polyommatus celina The caterpillar is small, pale green with yellow stripes and, as usual with Lycaenid larvae, rather slug-like.",https://en.wikipedia.org/wiki/Common_blue
